'Board'	'Thread Number'	'Post Number'	'Comment'	'Post URL'	'Added at'
'biz'	'55044050'	'55048537'	'OP here. My bait thread did well. I actually bought that apartment for 320k, now it"'s worth 500k. 180k profit in one year without any tax even if I sell now, since there is no property profit tax in my cunt.<br><br>I bought gold when 1 gram gold was 53 usd, now it"'s 64 usd. I made 40k profit from gold and I believe I will make more because gold is cheap as fuck, and again no tax for gold gains. That"'s why I like buying and selling gold.<br><br>ETF: I bought the best dividend ETF on the market but no capital gains yet.<br>Crypto: I"'m a BNB investor and actually I make great money from launchpads and launchpools since 2019. Last month I made 10k from just from selling those airdrop coins. Plus I have another crypto income source that not gonna share here but that"'s my main income and it"'s all passive and that"'s how I made my million, not from buying and selling. So I"'m not poor, not even close.<br><br>Thank you for posts. See you next time.'	'https://boards.4channel.org/biz/thread/55044050#p55048537'	'2023-05-22T14:54:24.504101400'
'biz'	'55047485'	'55047819'	'<a href=""#p55047602"" class=""quotelink"">>>55047602</a><br>nigga nobody is shilling this shit. everyones just waiting to dump their airdrop the second we start pumping. and if we dont start pumping before tokens start unlocking oh boy.'	'https://boards.4channel.org/biz/thread/55047485#p55047819'	'2023-05-22T14:54:24.504101400'
'biz'	'55047385'	'55050216'	'<a href=""#p55049888"" class=""quotelink"">>>55049888</a><br>4.75% plus 31 (Thirty one) and counting future airdrops'	'https://boards.4channel.org/biz/thread/55047385#p55050216'	'2023-05-22T15:44:23.753339300'
'biz'	'55049428'	'55049478'	'<a href=""#p55049428"" class=""quotelink"">>>55049428</a><br>ZkDoge had a small pump but will probably come down again. I think with the amount of airdrop farming in anticipation of ZkSync token it could be a nice gamble when we eventually enter bull market again.'	'https://boards.4channel.org/biz/thread/55049428#p55049478'	'2023-05-22T15:44:23.753339300'
'biz'	'55072503'	'55073670'	'How many BUILD airdrops are we due now? Staking Chad wallets must be on track for 100+ Airdrops by staking v1.0 when LINK token price skyrockets on tokenomics whilst coinciding with the next bulla… IMAGINE THE FUCKING SMELL.'	'https://boards.4channel.org/biz/thread/55072503#p55073670'	'2023-05-24T19:59:40.569453400'
'biz'	'55072503'	'55074180'	'<a href=""#p55073670"" class=""quotelink"">>>55073670</a><br><span class=""quote"">&gt;How many BUILD airdrops are we due now?</span><br>32 I think'	'https://boards.4channel.org/biz/thread/55072503#p55074180'	'2023-05-24T19:59:40.569453400'
'biz'	'55072503'	'55074754'	'<a href=""#p55074635"" class=""quotelink"">>>55074635</a><br>Where is the lie? Every BUILD project has different conditions of course, some 3% some 7% of the token supply and obviously they all have different release schedules. What did you expect, dozens of projects to release at the same exact time lol<br><a href=""#p55074637"" class=""quotelink"">>>55074637</a><br>Most anons underestimate the size of the BUILD airdrop.<br>Take a look at this absolute shitcoin which is a part of the BUILD program which already has a token out https://www.coingecko.com/en/coins/<wbr>ix-token. Even as an absolute shitcoin it has a 30M mcap in this current dead market, and we have 30+ projects in BUILD already with projects like SpaceandTime which will no doubt have way bigger valuation. Do the math.'	'https://boards.4channel.org/biz/thread/55072503#p55074754'	'2023-05-24T19:59:40.569453400'
'biz'	'55072503'	'55074833'	'<a href=""#p55074754"" class=""quotelink"">>>55074754</a><br><span class=""quote"">&gt;What did you expect, dozens of projects to release at the same exact time lol</span><br>We would have expected after this much time, some clarity from the chainlink labs team, which evidently is too much to ask for. <br><span class=""quote"">&gt;do the math</span><br>You"'re asking me to do the mathematics which you yourself haven"'t done. The airdrop size to the meagre 7000 link staker will be minimal given each project dedicates 3% of the token supply. No-one will ever get rich from these airdrops of tokens that aren"'t needed.'	'https://boards.4channel.org/biz/thread/55072503#p55074833'	'2023-05-24T19:59:40.569453400'
'biz'	'55072503'	'55074892'	'<a href=""#p55074754"" class=""quotelink"">>>55074754</a><br><span class=""quote"">&gt;,beyond participation in staking V0.1</span><br>That means you wont get some of the airdrops just by staking in v.1. It means there are more strings attatched'	'https://boards.4channel.org/biz/thread/55072503#p55074892'	'2023-05-24T19:59:40.569453400'
'biz'	'55072503'	'55074943'	'<a href=""#p55074833"" class=""quotelink"">>>55074833</a><br><span class=""quote"">&gt;some clarity from the chainlink labs team</span><br>Everything you"'re asking is clear from the start lol<br><span class=""quote"">&gt;given each project dedicates 3% of the token supply</span><br>Nope, some give up to 7%. Read OP, StarkDefi 5%. You just have to read.<br><span class=""quote"">&gt;No-one will ever get rich from these airdrops </span><br>Anyone who expects to &quot;get rich&quot; from an airdrop is a dumb fuck from the start. But it will be more than decent, just like with ARB'	'https://boards.4channel.org/biz/thread/55072503#p55074943'	'2023-05-24T19:59:40.569453400'
'biz'	'55072503'	'55075276'	'<a href=""#p55074943"" class=""quotelink"">>>55074943</a><br>What was the minimum ARB airdrop in $ terms? UNI like $2K I think.'	'https://boards.4channel.org/biz/thread/55072503#p55075276'	'2023-05-24T19:59:40.569453400'
'biz'	'55039036'	'55059779'	'<a href=""#p55059462"" class=""quotelink"">>>55059462</a><br>I"'ve noticed that one of the OG shitcoins, Lox is in the process of also migrating to AVAX.<br>What a fucking scam<br>Four different airdropped coins on XRPL and now a migration to AVAX and still no product to show for it.<br>It made me 10000 XRP though so I can complain...'	'https://boards.4channel.org/biz/thread/55039036#p55059779'	'2023-05-24T19:59:40.569453400'
'biz'	'55072436'	'55073340'	'<a href=""#p55073314"" class=""quotelink"">>>55073314</a><br><span class=""quote"">&gt;Mev mafia knows it"'s grift is coming to an end</span><br>Indeed.<br><span class=""quote"">&gt;Building on previous work, we introduce extractable value (EV), a new formal notion of economic security in composed DeFi contracts that is both a basis for CFF(Clockwork Finance Framework) and of general interest. We construct modular, human-readable, composable CFF models of four popular, deployed DeFi protocols in Ethereum: Uniswap, Uniswap V2, Sushiswap, and MakerDAO, representing a combined 24 billion USD in value as of March 2022. We use these models along with some other common models such as flash loans, airdrops and voting to show experimentally that CFF is practical and can drive useful, data-based EV-based insights from real world transaction activity. Without any explicitly programmed attack strategies, CFF uncovers on average an expected $56 million of EV per month in the recent past.</span><br><br>https://arxiv.org/abs/2109.04347'	'https://boards.4channel.org/biz/thread/55072436#p55073340'	'2023-05-24T19:59:40.569453400'
'biz'	'55067211'	'55067313'	'<a href=""#p55067211"" class=""quotelink"">>>55067211</a><br>also<br><span class=""quote"">&gt;Their official discord got &quot;hacked&quot; for 1 hour and some scammer stole funds by sharing a link giving users free &quot;airdrops&quot;</span><br><br><br>the only question the team refuses to answer is about CZ , jesse and winklebros chads connection or interactions with this rug<br><br>this might be the final mystery to reveal'	'https://boards.4channel.org/biz/thread/55067211#p55067313'	'2023-05-24T19:59:40.569453400'
'biz'	'55067211'	'55071370'	'<a href=""#p55071344"" class=""quotelink"">>>55071344</a><br>Even then whales will be still in profits and keep dumping, because of the airdrop from V1, which was even lower pricewise than the first day price on current V2 in Dextools.'	'https://boards.4channel.org/biz/thread/55067211#p55071370'	'2023-05-24T19:59:40.569453400'
'biz'	'55067211'	'55071494'	'<a href=""#p55071412"" class=""quotelink"">>>55071412</a><br>I was referring to DBI. Even if it’s below initial DBI price, big wallets will be _still_ in profit because of airdrop. <br>Copium I already aped with small amount, will watch and manage position. Thanks for the genuine tip.'	'https://boards.4channel.org/biz/thread/55067211#p55071494'	'2023-05-24T19:59:40.569453400'
'biz'	'55067211'	'55071548'	'<a href=""#p55071494"" class=""quotelink"">>>55071494</a><br>ah okay lol, am a retard and didn"'t see what you replied to<br><br>referring to DBI, you"'re talking about the Duetsche Bank Inu airdrop to the new DBI token, right? If there was a big price difference between the 2, yeah whales will still make some money off of DBI even below its launch price. desu even without the airdrop, there are still bots and the wallets making somewhat decent profit off of pump and dumping DBI'	'https://boards.4channel.org/biz/thread/55067211#p55071548'	'2023-05-24T19:59:40.569453400'
'biz'	'55063890'	'55068680'	'i bought some doge (on pulse) and pepe (on pulse) because they are backed by jeff k and he"'s an og nigga reaponaible for hex2x and will make u rich if you dont paperhand your shit. his network and networth is impressive. <br><br>also bought some wojak because they will be airdropping to doge holders and it will likely do well. its like 100k mcap. easy 10x if not more imo.'	'https://boards.4channel.org/biz/thread/55063890#p55068680'	'2023-05-24T19:59:40.569453400'
'biz'	'55063890'	'55070225'	'<a href=""#p55070177"" class=""quotelink"">>>55070177</a><br>I can dmor but thanks, for now I"'m eager to get my hands on QANX through an airdrop by participating in a zealy contest.'	'https://boards.4channel.org/biz/thread/55063890#p55070225'	'2023-05-24T19:59:40.569453400'
'biz'	'55070850'	'55073150'	'<a href=""#p55070850"" class=""quotelink"">>>55070850</a><br>Sneedbros should get in on the Hot or Not airdrop. You get extra gibs for holding SNS-1.'	'https://boards.4channel.org/biz/thread/55070850#p55073150'	'2023-05-24T19:59:40.569453400'
'biz'	'55070850'	'55073459'	'How do I get airdrops? I"'ve got the sneeds, I"'ve used the dapps, I just want some free money god damn it.'	'https://boards.4channel.org/biz/thread/55070850#p55073459'	'2023-05-24T19:59:40.569453400'
'biz'	'55043483'	'55062494'	'<a href=""#p55062379"" class=""quotelink"">>>55062379</a><br><a href=""#p55062139"" class=""quotelink"">>>55062139</a><br>I don"'t know why they were in the tg, but that"'s not the real Ragnar, confirmed. I guess it"'s still possible to make money of off it like it"'s possible the universe implodes within the next few minutes completely randomly. They already started up another one, don"'t buy this shit if you see the midgets spamming this next, you can"'t even buy it yet and 20% of the supply was airdropped to a bunch of wallets.'	'https://boards.4channel.org/biz/thread/55043483#p55062494'	'2023-05-24T19:59:40.569453400'
'biz'	'55069126'	'55069300'	'It"'s quite a bit of a set back and blow to investors for sure, but honestly everything is so early in the concept and it"'s potential still I"'m letting it ride, lp was always just a small pit in the defi ride that i seriously hope you guys didn"'t put too much money in, unless you were early as fuck. Why would you stake your link through sdl unless you had a lot of link that couldn"'t be staked through the first iteration of the native staking with link with possible airdrops? Stakedotlink is definitely a riskier hedge on the future value of the link oracle but I think it will come out on top if things go well, scummy as fuck though for sure but was there ever any sort of promise out here in this clown planet?'	'https://boards.4channel.org/biz/thread/55069126#p55069300'	'2023-05-24T19:59:40.569453400'
